x,y
0,0.6353319928317065
1,0.6205176533642568
2,0.6179841490451526
3,0.6160911323970094
4,0.6144228680687249
5,0.6128743519355705
6,0.611398083898031
7,0.609967369497293
8,0.608566654380315
9,0.6071868031030321
10,0.6058224286572399
11,0.6044703415697956
12,0.6031286435331639
13,0.6017961961025413
14,0.6004723085891283
15,0.599156554415643
16,0.5978486629236738
17,0.5965484555723418
18,0.5952558082883236
19,0.5939706292370989
20,0.5926928456946357
21,0.5914223962923245
22,0.5901592264356733
23,0.588903285598085
24,0.5876545257226177
25,0.5864129002784989
26,0.5851783637045654
27,0.5839508710813441
28,0.5827303779382246
29,0.5815168401404371
30,0.580310213823156
31,0.5791104553534245
32,0.5779175213084846
33,0.5767313684637732
34,0.5755519537865992
35,0.5743792344331505
36,0.5732131677474396
37,0.5720537112613648
38,0.5709008226954095
39,0.5697544599596857
40,0.5686145811551585
41,0.5674811445749512
42,0.5663541087056715
43,0.565233432228726
44,0.5641190740216047
45,0.5630109931591198
46,0.5619091489145984
47,0.5608135007610203
48,0.5597240083721041
49,0.5586406316233358
50,0.5575633305929464
51,0.556492065562833
52,0.555426797019427
53,0.5543674856545102
54,0.5533140923659785
55,0.5522665782585553
56,0.551224904644454
57,0.5501890330439919
58,0.5491589251861559
59,0.548134543009121
60,0.5471158486607217
61,0.5461028044988785
62,0.5450953730919802
63,0.5440935172192211
64,0.5430971998708977
65,0.5421063842486608
66,0.541121033765729
67,0.5401411120470603
68,0.5391665829294854
69,0.5381974104618029
70,0.5372335589048355
71,0.5362749927314507
72,0.5353216766265458
73,0.5343735754869967
74,0.533430654421573
75,0.5324928787508213
76,0.5315602140069121
77,0.5306326259334591
78,0.5297100804853049
79,0.5287925438282767
80,0.5278799823389132
81,0.5269723626041624
82,0.5260696514210517
83,0.5251718157963299
84,0.5242788229460836
85,0.5233906402953273
86,0.5225072354775684
87,0.5216285763343478
88,0.5207546309147569
89,0.5198853674749314
90,0.519020754477523
91,0.5181607605911485
92,0.5173053546898188
93,0.5164545058523469
94,0.5156081833617362
95,0.5147663567045501
96,0.513928995570261
