pacbioRun,filter_reason,count,total_counts,frac_counts
Lib-1_220629,barcode clip3,1256,2848122,0.000440992345131283
Lib-1_220629,barcode mutation_nt_count,31126,2848122,0.010928604884200888
Lib-1_220629,gene clip3,11178,2848122,0.003924691428246402
Lib-1_220629,gene mutation_nt_count,39330,2848122,0.013809099469755861
Lib-1_220629,query_clip3,9525,2848122,0.0033443089867639096
Lib-1_220629,query_clip5,14801,2848122,0.005196757723159331
Lib-1_220629,termini3 clip3,4136,2848122,0.0014521849836488746
Lib-1_220629,termini3 mutation_nt_count,13906,2848122,0.004882515566397788
Lib-1_220629,termini5 clip5,21094,2848122,0.007406283860031277
Lib-1_220629,termini5 mutation_nt_count,16867,2848122,0.0059221479978736865
Lib-1_220629,variant_tag3 mutation_nt_count,9220,2848122,0.0032372208774764564
Lib-1_220629,variant_tag5 mutation_nt_count,2760,2848122,0.0009690596119126919
Lib-2_220629,barcode clip3,1271,3266011,0.0003891597425728205
Lib-2_220629,barcode mutation_nt_count,36863,3266011,0.011286857270229647
Lib-2_220629,gene clip3,14027,3266011,0.004294841627906336
Lib-2_220629,gene mutation_nt_count,44335,3266011,0.013574663404379225
Lib-2_220629,query_clip3,12716,3266011,0.0038934345291549845
Lib-2_220629,query_clip5,22359,3266011,0.00684596591989433
Lib-2_220629,termini3 clip3,4175,3266011,0.0012783178011341663
Lib-2_220629,termini3 mutation_nt_count,15331,3266011,0.004694105439326445
Lib-2_220629,termini5 clip5,25681,3266011,0.007863108850521324
Lib-2_220629,termini5 mutation_nt_count,17113,3266011,0.005239725157079997
Lib-2_220629,variant_tag3 mutation_nt_count,5915,3266011,0.001811077794900262
Lib-2_220629,variant_tag5 mutation_nt_count,5881,3266011,0.001800667542148511
Lib-1_220629,aligned,2672923,2848122,0.9384861322654016
Lib-2_220629,aligned,3060344,3266011,0.9370280749207519
