dt,Total Motor Gasoline
2012-01-01T00:00:00,
2012-01-08T00:00:00,
2012-01-15T00:00:00,
2012-01-22T00:00:00,
2012-01-29T00:00:00,
2012-02-05T00:00:00,
2012-02-12T00:00:00,
2012-02-19T00:00:00,
2012-02-26T00:00:00,
2012-03-04T00:00:00,
2012-03-11T00:00:00,
2012-03-18T00:00:00,
2012-03-25T00:00:00,
2012-04-01T00:00:00,
2012-04-08T00:00:00,
2012-04-15T00:00:00,
2012-04-22T00:00:00,
2012-04-29T00:00:00,
2012-05-06T00:00:00,
2012-05-13T00:00:00,
2012-05-20T00:00:00,
2012-05-27T00:00:00,
2012-06-03T00:00:00,
2012-06-10T00:00:00,
2012-06-17T00:00:00,
2012-06-24T00:00:00,
2012-07-01T00:00:00,
2012-07-08T00:00:00,
2012-07-15T00:00:00,
2012-07-22T00:00:00,
2012-07-29T00:00:00,
2012-08-05T00:00:00,
2012-08-12T00:00:00,
2012-08-19T00:00:00,
2012-08-26T00:00:00,
2012-09-02T00:00:00,
2012-09-09T00:00:00,
2012-09-16T00:00:00,
2012-09-23T00:00:00,
2012-09-30T00:00:00,
2012-10-07T00:00:00,
2012-10-14T00:00:00,
2012-10-21T00:00:00,
2012-10-28T00:00:00,
2012-11-04T00:00:00,
2012-11-11T00:00:00,
2012-11-18T00:00:00,
2012-11-25T00:00:00,
2012-12-02T00:00:00,
2012-12-09T00:00:00,
2012-12-16T00:00:00,
2012-12-23T00:00:00,
2012-12-30T00:00:00,2.488725799639413
2013-01-06T00:00:00,4.147397487969329
2013-01-13T00:00:00,3.285425457102664
2013-01-20T00:00:00,2.6975740765200484
2013-01-27T00:00:00,0.9359235618974004
2013-02-03T00:00:00,0.9763737401629058
2013-02-10T00:00:00,0.4565502032940483
2013-02-17T00:00:00,-0.50750020515965
2013-02-24T00:00:00,-0.6228063689779795
2013-03-03T00:00:00,-0.7197284898336265
2013-03-10T00:00:00,-1.6714813629608916
2013-03-17T00:00:00,-1.79588994610127
2013-03-24T00:00:00,-0.9553655370013958
2013-03-31T00:00:00,-0.5628331823732791
2013-04-07T00:00:00,2.171975224687084
2013-04-14T00:00:00,3.6290982169981056
2013-04-21T00:00:00,2.8678033344353704
2013-04-28T00:00:00,2.9863485297132897
2013-05-05T00:00:00,3.846302412267999
2013-05-12T00:00:00,6.534645711684628
2013-05-19T00:00:00,9.78299802996836
2013-05-26T00:00:00,9.483512256530414
2013-06-02T00:00:00,7.503746468492811
2013-06-09T00:00:00,9.783896016372573
2013-06-16T00:00:00,9.363532336345347
2013-06-23T00:00:00,10.037495972112364
2013-06-30T00:00:00,9.117786245017623
2013-07-07T00:00:00,6.404140089060051
2013-07-14T00:00:00,8.825700548783445
2013-07-21T00:00:00,6.022547656681443
2013-07-28T00:00:00,7.501804012122948
2013-08-04T00:00:00,8.50685935293518
2013-08-11T00:00:00,9.19596657797328
2013-08-18T00:00:00,7.72679741141189
2013-08-25T00:00:00,8.242929626739937
2013-09-01T00:00:00,8.594570950209413
2013-09-08T00:00:00,10.079609136336964
2013-09-15T00:00:00,10.039784217738369
2013-09-22T00:00:00,10.420879547357886
2013-09-29T00:00:00,12.14032723969336
2013-10-06T00:00:00,12.523028739867348
2013-10-13T00:00:00,10.237510652976756
2013-10-20T00:00:00,8.529614689248465
2013-10-27T00:00:00,7.162334212188348
2013-11-03T00:00:00,3.784520968291849
2013-11-10T00:00:00,3.5956758791108046
2013-11-17T00:00:00,4.223264633963786
2013-11-24T00:00:00,3.1083694401605966
2013-12-01T00:00:00,0.149447233811828
2013-12-08T00:00:00,0.9368307118347463
2013-12-15T00:00:00,0.5307265117042492
2013-12-22T00:00:00,-1.4486517498565665
2013-12-29T00:00:00,-2.19654101288147
2014-01-05T00:00:00,-2.6282257545530596
2014-01-12T00:00:00,-0.7885274154769251
2014-01-19T00:00:00,0.860853050497945
2014-01-26T00:00:00,0.9233709712829441
2014-02-02T00:00:00,0.3896786433030375
2014-02-09T00:00:00,-0.059167538458893
2014-02-16T00:00:00,1.3262311592692866
2014-02-23T00:00:00,0.9212455414779219
2014-03-02T00:00:00,0.4901724160629284
2014-03-09T00:00:00,-0.2416320416570028
2014-03-16T00:00:00,-0.23919365261720893
2014-03-23T00:00:00,-1.8252002386591637
2014-03-30T00:00:00,-2.284015516803828
2014-04-06T00:00:00,-5.3637520630680395
