stage,tracker,precision,AUC
all off,CN,44.7,25.3
all off,KCF,63.6,38.6
all off,Staple,63.2,40.6
all off,ECO_HC,65.5,45.7
all off,AutoTrack,73.3,50.4
demosaic,CN,52.7,32.1
demosaic,KCF,67.5,41.0
demosaic,Staple,76.9,54.9
demosaic,ECO_HC,77.6,56.9
demosaic,AutoTrack,78.9,56.2
denoise,CN,45.0,25.4
denoise,KCF,61.3,37.3
denoise,Staple,66.7,42.0
denoise,ECO_HC,69.5,48.3
denoise,AutoTrack,72.8,49.9
transform,CN,54.9,32.9
transform,KCF,65.7,39.4
transform,Staple,61.6,38.4
transform,ECO_HC,64.8,43.7
transform,AutoTrack,69.4,44.5
gamut map,CN,44.6,26.0
gamut map,KCF,64.1,38.3
gamut map,Staple,65.8,41.0
gamut map,ECO_HC,65.7,46.1
gamut map,AutoTrack,74.5,49.9
tone map,CN,61.9,39.4
tone map,KCF,67.1,40.5
tone map,Staple,59.0,38.9
tone map,ECO_HC,66.2,45.8
tone map,AutoTrack,74.9,48.3
