SNP1,SNP2,Alt,Ref,Total,PcentAlt,PcentRef
55,55,249,156,442,56.0,35.0
55,56,232,133,442,52.0,30.0
55,84,182,121,442,41.0,27.0
55,90,199,124,442,45.0,28.0
55,111,175,85,442,40.0,19.0
55,428,200,7,442,45.0,2.0
55,519,198,114,442,45.0,26.0
55,624,194,140,442,44.0,32.0
55,656,178,128,442,40.0,29.0
55,741,205,94,442,46.0,21.0
56,55,232,133,466,50.0,29.0
56,56,247,187,466,53.0,40.0
56,84,185,141,466,40.0,30.0
56,90,192,147,466,41.0,32.0
56,111,167,92,466,36.0,20.0
56,428,199,7,466,43.0,2.0
56,519,196,131,466,42.0,28.0
56,624,192,156,466,41.0,33.0
56,656,175,147,466,38.0,32.0
56,741,204,109,466,44.0,23.0
84,55,182,121,532,34.0,23.0
84,56,185,141,532,35.0,27.0
84,84,330,194,532,62.0,36.0
84,90,265,153,532,50.0,29.0
84,111,237,93,532,45.0,17.0
84,428,256,6,532,48.0,1.0
84,519,263,133,532,49.0,25.0
84,624,261,169,532,49.0,32.0
84,656,241,154,532,45.0,29.0
84,741,262,116,532,49.0,22.0
90,55,199,124,570,35.0,22.0
90,56,192,147,570,34.0,26.0
90,84,265,153,570,46.0,27.0
90,90,357,196,570,63.0,34.0
90,111,269,103,570,47.0,18.0
90,428,274,7,570,48.0,1.0
90,519,279,142,570,49.0,25.0
90,624,275,170,570,48.0,30.0
90,656,263,163,570,46.0,29.0
90,741,291,115,570,51.0,20.0
111,55,175,85,505,35.0,17.0
111,56,167,92,505,33.0,18.0
111,84,237,93,505,47.0,18.0
111,90,269,103,505,53.0,20.0
111,111,325,125,505,64.0,25.0
111,428,243,6,505,48.0,1.0
111,519,250,94,505,50.0,19.0
111,624,247,108,505,49.0,21.0
111,656,240,106,505,48.0,21.0
111,741,265,82,505,52.0,16.0
428,55,200,7,512,39.0,1.0
428,56,199,7,512,39.0,1.0
428,84,256,6,512,50.0,1.0
428,90,274,7,512,54.0,1.0
428,111,243,6,512,47.0,1.0
428,428,498,7,512,97.0,1.0
428,519,279,6,512,54.0,1.0
428,624,274,6,512,54.0,1.0
428,656,257,7,512,50.0,1.0
428,741,287,6,512,56.0,1.0
519,55,198,114,547,36.0,21.0
519,56,196,131,547,36.0,24.0
519,84,263,133,547,48.0,24.0
519,90,279,142,547,51.0,26.0
519,111,250,94,547,46.0,17.0
519,428,279,6,547,51.0,1.0
519,519,355,190,547,65.0,35.0
519,624,273,156,547,50.0,29.0
519,656,260,143,547,48.0,26.0
519,741,288,105,547,53.0,19.0
624,55,194,140,592,33.0,24.0
624,56,192,156,592,32.0,26.0
624,84,261,169,592,44.0,29.0
624,90,275,170,592,46.0,29.0
624,111,247,108,592,42.0,18.0
624,428,274,6,592,46.0,1.0
624,519,273,156,592,46.0,26.0
624,624,353,234,592,60.0,40.0
624,656,263,178,592,44.0,30.0
624,741,282,131,592,48.0,22.0
656,55,178,128,570,31.0,22.0
656,56,175,147,570,31.0,26.0
656,84,241,154,570,42.0,27.0
656,90,263,163,570,46.0,29.0
656,111,240,106,570,42.0,19.0
656,428,257,7,570,45.0,1.0
656,519,260,143,570,46.0,25.0
656,624,263,178,570,46.0,31.0
656,656,334,234,570,59.0,41.0
656,741,267,127,570,47.0,22.0
741,55,205,94,519,39.0,18.0
741,56,204,109,519,39.0,21.0
741,84,262,116,519,50.0,22.0
741,90,291,115,519,56.0,22.0
741,111,265,82,519,51.0,16.0
741,428,287,6,519,55.0,1.0
741,519,288,105,519,55.0,20.0
741,624,282,131,519,54.0,25.0
741,656,267,127,519,51.0,24.0
741,741,367,147,519,71.0,28.0
