date,label,month,quarter,sourceDataset,updateDate,value,year
1994,1994,,,PRDY,2021-10-06T23:00:00.000Z,100.8,1994
1995,1995,,,PRDY,2021-10-06T23:00:00.000Z,101.8,1995
1996,1996,,,PRDY,2022-04-06T23:00:00.000Z,100.3,1996
1997,1997,,,PRDY,2022-10-06T23:00:00.000Z,97.2,1997
1998,1998,,,PRDY,2022-10-06T23:00:00.000Z,93.5,1998
1999,1999,,,PRDY,2022-10-06T23:00:00.000Z,89.5,1999
2000,2000,,,PRDY,2022-10-06T23:00:00.000Z,86.8,2000
2001,2001,,,PRDY,2022-10-06T23:00:00.000Z,87.4,2001
2002,2002,,,PRDY,2022-10-06T23:00:00.000Z,86.9,2002
2003,2003,,,PRDY,2022-10-06T23:00:00.000Z,87.4,2003
2004,2004,,,PRDY,2022-10-06T23:00:00.000Z,85.8,2004
2005,2005,,,PRDY,2022-04-06T23:00:00.000Z,85.1,2005
2006,2006,,,PRDY,2022-10-06T23:00:00.000Z,85.9,2006
2007,2007,,,PRDY,2022-10-06T23:00:00.000Z,86.7,2007
2008,2008,,,PRDY,2022-10-06T23:00:00.000Z,85.4,2008
2009,2009,,,PRDY,2022-10-06T23:00:00.000Z,86.5,2009
2010,2010,,,PRDY,2022-10-06T23:00:00.000Z,87.2,2010
2011,2011,,,PRDY,2021-10-06T23:00:00.000Z,87.8,2011
2012,2012,,,PRDY,2022-10-06T23:00:00.000Z,86.9,2012
2013,2013,,,PRDY,2022-10-06T23:00:00.000Z,95.4,2013
2014,2014,,,PRDY,2022-10-06T23:00:00.000Z,98.8,2014
2015,2015,,,PRDY,2022-10-06T23:00:00.000Z,97.7,2015
2016,2016,,,PRDY,2021-10-06T23:00:00.000Z,96.8,2016
2017,2017,,,PRDY,2022-10-06T23:00:00.000Z,99.9,2017
2018,2018,,,PRDY,2022-10-06T23:00:00.000Z,99.0,2018
2019,2019,,,PRDY,2021-10-06T23:00:00.000Z,100.0,2019
2020,2020,,,PRDY,2022-10-06T23:00:00.000Z,102.1,2020
2021,2021,,,PRDY,2022-10-06T23:00:00.000Z,101.1,2021
