stage,tracker,precision,AUC
original,CN,72.4,44.2
original,KCF,68.5,41.3
original,Staple,77.8,56.2
original,ECO_HC,79.8,57.5
original,AutoTrack,79.0,57.4
demosaic,CN,65.5,40.7
demosaic,KCF,66.5,39.8
demosaic,Staple,54.2,35.4
demosaic,ECO_HC,70.3,47.7
demosaic,AutoTrack,71.9,45.2
denoise,CN,70.0,43.0
denoise,KCF,67.8,40.8
denoise,Staple,77.3,56.1
denoise,ECO_HC,79.4,57.2
denoise,AutoTrack,78.7,57.2
transform,CN,66.1,42.1
transform,KCF,68.4,41.0
transform,Staple,77.8,56.0
transform,ECO_HC,81.8,60.4
transform,AutoTrack,81.2,58.4
gamut map,CN,72.3,44.4
gamut map,KCF,69.5,41.7
gamut map,Staple,78.9,57.3
gamut map,ECO_HC,79.2,57.5
gamut map,AutoTrack,78.9,57.6
tone map,CN,62.0,37.0
tone map,KCF,67.1,40.8
tone map,Staple,78.7,55.8
tone map,ECO_HC,79.8,57.9
tone map,AutoTrack,77.5,55.9
