candidate_party,all_spending,count
Democrat,50000,62
Democrat,150000,28
Democrat,250000,19
Democrat,350000,11
Democrat,450000,17
Democrat,550000,16
Democrat,650000,13
Democrat,750000,14
Democrat,850000,17
Democrat,950000,17
Republican,50000,76
Republican,150000,8
Republican,250000,9
Republican,350000,8
Republican,450000,11
Republican,550000,8
Republican,650000,11
Republican,750000,13
Republican,850000,13
Republican,950000,13
_AllOthers,50000,24
_AllOthers,150000,1
_AllOthers,250000,2
_AllOthers,350000,1
_AllOthers,450000,0
_AllOthers,550000,0
_AllOthers,650000,1
_AllOthers,750000,1
_AllOthers,850000,1
_AllOthers,950000,0
