country,COUNT,gender
UK,1,M
DE,1,F
DE,1,F
DE,1,F
DE,1,F
US,1,F
US,1,F
US,1,M
US,1,M
US,1,M
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
BR,1,F
BR,1,F
BE,1,F
DE,1,F
DE,1,M
DE,1,F
DE,1,M
DE,1,F
DE,1,F
DE,1,F
DE,1,F
DE,1,F
DE,1,F
DE,1,M
DE,1,F
DE,1,F
DE,1,F
DE,1,F
DE,1,M
DE,1,F
DE,1,F
DE,1,F
DE,1,M
SE,1,F
US,1,F
US,1,F
JP,1,F
UK,1,M
UK,1,F
UK,1,F
UK,1,M
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,M
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,M
US,1,M
US,1,F
US,1,M
US,1,F
US,1,M
US,1,F
US,1,F
US,1,M
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,M
UK,1,F
UK,1,F
UK,1,M
IE,1,F
IN,1,F
IN,1,F
IN,1,F
IN,1,F
IN,1,F
IN,1,F
IN,1,M
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,M
US,1,F
US,1,M
US,1,F
US,1,M
US,1,F
US,1,M
US,1,M
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,M
US,1,M
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,M
US,1,F
US,1,F
US,1,M
US,1,F
UK,1,M
UK,1,F
UK,1,F
UK,1,F
UK,1,M
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,M
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,F
UK,1,M
UK,1,F
UK,1,F
UK,1,F
UK,1,M
UK,1,F
ES,1,F
ES,1,F
ES,1,F
ES,1,F
ES,1,M
ES,1,F
ES,1,F
ES,1,F
ES,1,F
ES,1,F
ES,1,F
ES,1,F
ES,1,F
ES,1,M
US,1,M
US,1,F
US,1,F
US,1,F
US,1,M
US,1,M
US,1,F
US,1,F
US,1,F
US,1,M
US,1,M
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,M
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,M
US,1,F
US,1,M
US,1,F
US,1,M
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,M
US,1,F
US,1,M
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
UK,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,M
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
US,1,F
