pacbioRun,filter_reason,count,total_counts,frac_counts
Lib-1_211105,barcode clip3,574,654163,0.0008774571475305084
Lib-1_211105,barcode mutation_nt_count,8546,654163,0.013064022269678963
Lib-1_211105,gene clip3,6254,654163,0.009560308363511846
Lib-1_211105,gene mutation_nt_count,39200,654163,0.05992390275818107
Lib-1_211105,query_clip3,3339,654163,0.005104232431366494
Lib-1_211105,query_clip5,11033,654163,0.016865827018648256
Lib-1_211105,termini3 clip3,2622,654163,0.004008175332447723
Lib-1_211105,termini3 mutation_nt_count,3160,654163,0.004830600324383984
Lib-1_211105,termini5 clip5,18101,654163,0.0276704735669856
Lib-1_211105,termini5 mutation_nt_count,3234,654163,0.004943721977549938
Lib-1_211105,variant_tag3 mutation_nt_count,1746,654163,0.002669059546321024
Lib-1_211105,variant_tag5 mutation_nt_count,803,654163,0.0012275228039494745
Lib-1_220124,barcode clip3,727,690629,0.001052663586382848
Lib-1_220124,barcode mutation_nt_count,6754,690629,0.009779490869917133
Lib-1_220124,gene clip3,8877,690629,0.01285350021502138
Lib-1_220124,gene mutation_nt_count,45539,690629,0.06593844162350553
Lib-1_220124,query_clip3,4496,690629,0.00651000754384771
Lib-1_220124,query_clip5,13002,690629,0.018826316300068487
Lib-1_220124,termini3 clip3,2826,690629,0.004091922001537729
Lib-1_220124,termini3 mutation_nt_count,3915,690629,0.005668745447990165
Lib-1_220124,termini5 clip5,22078,690629,0.03196795964258668
Lib-1_220124,termini5 mutation_nt_count,4190,690629,0.006066933186993306
Lib-1_220124,variant_tag3 mutation_nt_count,1375,690629,0.0019909386950157032
Lib-1_220124,variant_tag5 mutation_nt_count,795,690629,0.0011511245545727156
Lib-2_211105,barcode clip3,512,506237,0.0010113839960334784
Lib-2_211105,barcode mutation_nt_count,6699,506237,0.013232932401227093
Lib-2_211105,gene clip3,5014,506237,0.009904451867405979
Lib-2_211105,gene mutation_nt_count,17633,506237,0.034831511722770166
Lib-2_211105,query_clip3,2560,506237,0.005056919980167392
Lib-2_211105,query_clip5,7180,506237,0.014183080256875731
Lib-2_211105,termini3 clip3,2435,506237,0.004810000059260781
Lib-2_211105,termini3 mutation_nt_count,2703,506237,0.005339396369684555
Lib-2_211105,termini5 clip5,14477,506237,0.028597277559720052
Lib-2_211105,termini5 mutation_nt_count,2215,506237,0.004375420998465146
Lib-2_211105,variant_tag3 mutation_nt_count,1400,506237,0.0027655031141540424
Lib-2_211105,variant_tag5 mutation_nt_count,583,506237,0.0011516345111084335
Lib-2_220124,barcode clip3,599,528277,0.001133874842175601
Lib-2_220124,barcode mutation_nt_count,5237,528277,0.009913359847201373
Lib-2_220124,gene clip3,7205,528277,0.013638678193447756
Lib-2_220124,gene mutation_nt_count,20175,528277,0.038190191887967864
Lib-2_220124,query_clip3,3142,528277,0.005947637319057994
Lib-2_220124,query_clip5,8210,528277,0.015541089239168087
Lib-2_220124,termini3 clip3,2749,528277,0.005203709417597208
Lib-2_220124,termini3 mutation_nt_count,3107,528277,0.005881384198062759
Lib-2_220124,termini5 clip5,17831,528277,0.03375312572760124
Lib-2_220124,termini5 mutation_nt_count,2974,528277,0.005629622338280864
Lib-2_220124,variant_tag3 mutation_nt_count,1255,528277,0.0023756476242577282
Lib-2_220124,variant_tag5 mutation_nt_count,597,528277,0.001130088949547302
Lib-3_211105,barcode clip3,299,329569,0.0009072455236991343
