iyear,Attack Count,region_txt
1970,1,Central America & Caribbean
1970,1,North America
1970,1,Southeast Asia
1970,1,Western Europe
1970,1,East Asia
1970,1,North America
1970,1,South America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,Western Europe
1970,1,North America
1970,1,North America
1970,1,Eastern Europe
1970,1,Sub-Saharan Africa
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,South America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,Central America & Caribbean
1970,1,Southeast Asia
1970,1,South America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,Eastern Europe
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,Southeast Asia
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,Western Europe
1970,1,North America
1970,1,North America
1970,1,Western Europe
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,Western Europe
1970,1,Western Europe
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,Middle East & North Africa
1970,1,Southeast Asia
1970,1,Western Europe
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,Western Europe
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,Central America & Caribbean
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,Western Europe
1970,1,North America
1970,1,North America
1970,1,South America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,Sub-Saharan Africa
1970,1,Middle East & North Africa
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
1970,1,North America
