Date,Non-Penalty Expected Goals + Expected Assists per 90
2021-08-14,1.2
2021-08-21,0.4
2021-08-28,0.7
2021-09-12,1.3
2021-09-15,0.8674698795180722
2021-09-18,0.5
2021-09-25,1.2000000000000002
2021-09-28,1.5230769230769234
2021-10-03,0.8999999999999999
2021-10-16,0.7
2021-10-19,0.20224719101123598
2021-10-24,2.2
2021-10-30,0.6
2021-11-03,0.6
2021-11-07,0.2
2021-11-20,1.6
2021-11-24,0.5142857142857142
2021-11-27,0.9
2021-12-01,1.1
2021-12-04,0.5056179775280899
2021-12-07,0.4285714285714286
2021-12-11,0.7
2021-12-16,0.9863013698630135
2021-12-19,0.2
2021-12-28,0.30000000000000004
2022-01-02,0.6
2022-02-10,2.3225806451612905
2022-02-13,0.5
2022-02-16,0.1
2022-02-19,1.6
2022-02-23,1.1
2022-03-05,1.0384615384615385
2022-03-08,1.0
2022-03-12,0.9843749999999999
2022-03-16,0.5142857142857142
2022-04-02,0.1323529411764706
2022-04-05,1.3499999999999999
2022-04-10,0.7
2022-04-13,1.0588235294117647
2022-04-19,1.7000000000000004
2022-04-24,0.5
2022-04-27,1.1
2022-04-30,0.40909090909090917
2022-05-03,0.2
2022-05-07,0.30000000000000004
2022-05-10,0.9473684210526315
2022-05-22,2.7272727272727275
2022-05-28,1.3
