pacbioRun,filter_reason,count,total_counts,frac_counts
LibA_211105,barcode clip3,18,32645,0.0005513861234492265
LibA_211105,barcode mutation_nt_count,453,32645,0.0138765507734722
LibA_211105,gene clip3,392,32645,0.0120079644662276
LibA_211105,gene mutation_nt_count,2003,32645,0.06135702251493337
LibA_211105,query_clip3,174,32645,0.00533006586000919
LibA_211105,query_clip5,598,32645,0.018318272323479858
LibA_211105,termini3 clip3,144,32645,0.004411088987593812
LibA_211105,termini3 mutation_nt_count,177,32645,0.0054219635472507275
LibA_211105,termini5 clip5,965,32645,0.02956042272936131
LibA_211105,termini5 mutation_nt_count,187,32645,0.005728289171389187
LibA_211105,variant_tag3 mutation_nt_count,103,32645,0.0031551539286261295
LibA_211105,variant_tag5 mutation_nt_count,49,32645,0.00150099555827845
LibA_220124,barcode clip3,28,32559,0.0008599772720292392
LibA_220124,barcode mutation_nt_count,320,32559,0.009828311680334163
LibA_220124,gene clip3,491,32559,0.01508031573451273
LibA_220124,gene mutation_nt_count,2259,32559,0.06938173776835897
LibA_220124,query_clip3,247,32559,0.007586228078257932
LibA_220124,query_clip5,660,32559,0.02027089284068921
LibA_220124,termini3 clip3,124,32559,0.003808470776129488
LibA_220124,termini3 mutation_nt_count,153,32559,0.0046991615221597715
LibA_220124,termini5 clip5,1084,32559,0.03329340581713198
LibA_220124,termini5 mutation_nt_count,180,32559,0.005528425320187966
LibA_220124,variant_tag3 mutation_nt_count,69,32559,0.002119229706072054
LibA_220124,variant_tag5 mutation_nt_count,34,32559,0.0010442581160355047
LibB_211105,barcode clip3,39,32749,0.001190876057284192
LibB_211105,barcode mutation_nt_count,434,32749,0.013252313047726649
LibB_211105,gene clip3,394,32749,0.012030901706922349
LibB_211105,gene mutation_nt_count,1158,32749,0.035359858316284465
LibB_211105,query_clip3,190,32749,0.005801703868820422
LibB_211105,query_clip5,492,32749,0.015023359491892882
LibB_211105,termini3 clip3,172,32749,0.005252068765458487
LibB_211105,termini3 mutation_nt_count,185,32749,0.005649027451219884
LibB_211105,termini5 clip5,996,32749,0.030413142386027055
LibB_211105,termini5 mutation_nt_count,143,32749,0.00436654554337537
LibB_211105,variant_tag3 mutation_nt_count,87,32749,0.002656569666249351
LibB_211105,variant_tag5 mutation_nt_count,44,32749,0.0013435524748847292
LibB_220124,barcode clip3,30,32669,0.0009183017539563501
LibB_220124,barcode mutation_nt_count,355,32669,0.010866570755150143
LibB_220124,gene clip3,482,32669,0.014754048180232024
LibB_220124,gene mutation_nt_count,1271,32669,0.03890538430928403
LibB_220124,query_clip3,201,32669,0.006152621751507545
LibB_220124,query_clip5,503,32669,0.01539685940800147
LibB_220124,termini3 clip3,153,32669,0.004683338945177386
LibB_220124,termini3 mutation_nt_count,170,32669,0.005203709939085983
LibB_220124,termini5 clip5,1057,32669,0.03235483179772873
LibB_220124,termini5 mutation_nt_count,182,32669,0.005571030640668524
LibB_220124,variant_tag3 mutation_nt_count,73,32669,0.002234534267960452
LibB_220124,variant_tag5 mutation_nt_count,42,32669,0.0012856224555388902
LibA_211105,aligned,27382,32645,0.8387808240159289
LibA_220124,aligned,26910,32559,0.826499585368101
LibB_211105,aligned,28415,32749,0.8676600812238542
LibB_220124,aligned,28150,32669,0.8616731457957084
