candidate_party,all_spending,count
Democrat,5000,9
Democrat,15000,9
Democrat,25000,8
Democrat,35000,13
Democrat,45000,5
Democrat,55000,4
Democrat,65000,5
Democrat,75000,2
Democrat,85000,4
Democrat,95000,3
Republican,5000,25
Republican,15000,9
Republican,25000,9
Republican,35000,7
Republican,45000,10
Republican,55000,3
Republican,65000,3
Republican,75000,4
Republican,85000,4
Republican,95000,2
_AllOthers,5000,11
_AllOthers,15000,6
_AllOthers,25000,2
_AllOthers,35000,0
_AllOthers,45000,1
_AllOthers,55000,1
_AllOthers,65000,0
_AllOthers,75000,2
_AllOthers,85000,0
_AllOthers,95000,1
