Timestamp,Attribute_Name,Attribute_Table,Sensor_id,Value,Name,Latitude,Longitude
1549152000000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,7f95c811-819f-4c5d-913b-4d58e6b7c140,22.5,HG1,51.599302,-0.068218
1549152000000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,3004cb8a-2e0d-4d7c-b4ac-5985d83418c1,62.9,LB5,51.485486774,-0.1245452348
1549152000000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,c212151b-09b0-4634-802b-131fb8777935,50.3,IS2,51.555378,-0.116146
1549152000000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,d7ce4006-0a32-4734-bd55-fc19b225aa14,28.6,KC1,51.5210467476,-0.2134921396
1549152000000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,53f43c22-962c-4385-8070-7ec664a33755,51.9,TH4,51.5150461674,-0.0084184927
1549152000000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,a74808e6-c537-4a26-8133-d4407fb37a1e,17.6,RB4,51.57661,0.030858
1549152000000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,56c745cd-ad6d-4550-bd9d-556979b1fc05,39.8,ST4,51.3586596125,-0.1497239466
1549152000000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,d36ee57b-a5cd-4dea-81e6-e9c0fb37bc76,42.7,SK5,51.4804994936,-0.0595528933
1549152000000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,7475490b-3d67-4bcc-9cbe-75b6dd574f49,44,RI1,51.480189,-0.237335
1549152000000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,77aca2bd-a825-476e-bc1d-9462b52b2924,31.5,RI2,51.476168,-0.230427
1549152000000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,3704c8e1-d93b-4efa-9c69-d4fda8fc805e,27.8,ST5,51.3892869045,-0.1416615248
1549152000000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,83c7f4f6-ca98-40b6-a091-c3b28b206626,58.9,TH2,51.5225294861,-0.0421550992
1549152000000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,abf2dd0b-ad88-43ae-8c39-57fcf289d5b0,53.1,ST6,51.377923,-0.240414
1549238400000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,d36ee57b-a5cd-4dea-81e6-e9c0fb37bc76,6,SK5,51.4804994936,-0.0595528933
1549238400000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,53f43c22-962c-4385-8070-7ec664a33755,28.8,TH4,51.5150461674,-0.0084184927
1549238400000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,83c7f4f6-ca98-40b6-a091-c3b28b206626,16.7,TH2,51.5225294861,-0.0421550992
1549238400000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,3704c8e1-d93b-4efa-9c69-d4fda8fc805e,54.4,ST5,51.3892869045,-0.1416615248
1549238400000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,dab0f36f-a630-4095-a8e6-0fe4114dc053,21.2,BT4,51.552476,-0.258089
1549238400000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,d7ce4006-0a32-4734-bd55-fc19b225aa14,8.2,KC1,51.5210467476,-0.2134921396
1549238400000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,dd302595-54c8-424d-ac28-e15820612fb6,18.4,IS6,51.557895,-0.106989
1549238400000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,82cedcc6-ab40-495f-98fe-c7dfe1d397eb,24.1,EI1,51.5236078191,-0.2655026318
1549238400000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,77aca2bd-a825-476e-bc1d-9462b52b2924,5.7,RI2,51.476168,-0.230427
1549238400000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,8eaa7e71-8fb2-4463-bb60-6d2f5d0371fb,40.7,MY1,51.52254,-0.15459
1549238400000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,3004cb8a-2e0d-4d7c-b4ac-5985d83418c1,28,LB5,51.485486774,-0.1245452348
1549238400000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,95e12467-be3e-4bf2-92ea-29bd1bf5a698,8.9,LW2,51.474954,-0.039641
1549238400000,NO2,NO2_33f935da_323d_45f8_87cb_ba58f75b4482,88566b68-78ae-43f3-bb48-76801fb6b5b3,14.5,LB6,51.4282131429,-0.1318686388
